#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1551881717.2144563	normal	1	nan	nan	80.0	80.4	1313.512	81.19483189478842	1313.406	81.16861144239783	1312.336	80.89435804690083	9999999000.0	9999	1315.29	81.65975525392423	1089.63	23.01042577021917	1087.972	22.583536252843714	1090.582	23.25931951393659	1086.333	22.159019413004444	1084.813	21.773446126478575
1551881738.4944313	normal	1	nan	nan	80.0	80.4	1313.137	81.102799028341	1312.459	80.92975275351955	1311.672	80.71843890073433	9999999000.0	9999	1314.483	81.45495011351431	1089.299	22.930556962039645	1087.653	22.500843978755256	1090.271	23.17712584635774	1085.82	22.03306573736927	1084.653	21.730693241406698
1551881754.4621568	normal	1	nan	nan	80.0	80.3	1312.651	80.97747066499778	1311.919	80.78083537434895	1311.207	80.60466014497297	9999999000.0	9999	1313.972	81.32279070378672	1089.036	22.86279879101903	1087.728	22.52454373619321	1090.013	23.113227462712075	1086.404	22.18761078499483	1085.698	22.001642451003136
1551881769.8578613	normal	1	nan	nan	80.0	80.2	1295.462	76.45338003090865	1287.797	74.43164269522322	1290.323	75.07043407031915	9999999000.0	9999	1255.703	66.41450043255736	1106.947	27.45181446061906	1125.459	32.57265297366848	1102.453	26.39371953459613	1209.557	54.79996561466942	1229.953	60.064746428522994
1551881785.4274704	normal	1	nan	nan	80.0	79.4	1302.951	78.43758586686226	1301.086	77.94980450650564	1300.514	77.8031174912112	9999999000.0	9999	1302.018	78.19918744386541	1124.621	32.073494245426446	1203.463	52.621425210143116	1134.313	34.61502128057873	1287.344	74.39657948863669	1288.143	74.62161849905942
1551881800.8228805	normal	1	nan	nan	80.0	78.9	1304.051	78.72368678333623	1302.554	78.3330552005882	1302.419	78.3026659559232	9999999000.0	9999	1304.274	78.78421132013818	1148.872	38.362358237998706	1236.382	61.07237169354221	1163.291	42.118063605028055	1298.349	77.24812348767136	1298.543	77.29081201075451
1551881816.2116678	normal	1	nan	nan	80.0	78.6	1305.029	78.98334752689061	1304.435	78.82482364672342	1304.225	78.77058665194409	9999999000.0	9999	1305.787	79.1840680630171	1174.085	44.86410498122541	1256.8	66.41841591009234	1189.566	48.94938712141857	1302.811	78.40431384077237	1302.193	78.23036164033829
1551881831.9598453	normal	1	nan	nan	80.0	78.5	1305.839	79.19507398193764	1305.914	79.22180279552003	1305.646	79.14345130007405	9999999000.0	9999	1307.065	79.51662029949102	1195.706	50.524846707598044	1269.291	69.65262026634582	1210.916	54.46677303532306	1305.317	79.06536370705953	1303.789	78.65766128611313
1551881847.5282779	normal	1	nan	nan	80.0	78.6	1306.866	79.45031681488854	1307.74	79.6895922046333	1307.316	79.58711835626991	9999999000.0	9999	1308.751	79.95614400022396	1214.863	55.47971996295382	1278.868	72.15435614307671	1228.592	59.06315795084447	1307.288	79.57191790394972	1305.12	79.00824040053521
1551881863.2628677	normal	1	nan	nan	80.0	78.7	1307.681	79.67465336293299	1309.064	80.0405434682948	1308.587	79.91053773592012	9999999000.0	9999	1309.914	80.2599397993913	1230.846	59.632814911593414	1286.579	74.15978178478599	1243.097	62.83456468952136	1308.424	79.87620240262231	1305.977	79.22782991095164
1551881878.8416767	normal	1	nan	nan	80.0	78.8	1307.94	79.74620316805476	1309.212	80.07592898304756	1308.909	80.0012266763456	9999999000.0	9999	1310.219	80.34565775575948	1244.263	63.11905402009825	1291.562	75.47062502317112	1255.327	66.0083601189258	1309.048	80.04421305953247	1306.47	79.35047100676775
1551881894.5856607	normal	1	nan	nan	80.0	79.0	1308.534	79.89795680881616	1309.837	80.23661022265424	1309.542	80.16819522750802	9999999000.0	9999	1310.928	80.52129480076655	1255.41	66.0328941698981	1295.396	76.46908973903328	1265.192	68.58151355564132	1309.726	80.2117080481321	1306.993	79.48884081120286
1551881910.1548352	normal	1	nan	nan	80.0	79.1	1308.867	79.99912979398096	1310.35	80.378425149137	1310.086	80.30633731481839	9999999000.0	9999	1311.279	80.61907889380154	1264.638	68.44098926320021	1298.71	77.33428678137079	1273.186	70.66578930560809	1310.353	80.38445438509507	1307.408	79.60756045466269
1551881925.7232728	normal	1	nan	nan	80.0	79.2	1309.514	80.15063298713221	1311.213	80.60937900126373	1310.787	80.4974390693078	9999999000.0	9999	1312.282	80.88387079961649	1272.344	70.44886079420667	1300.873	77.90474994161286	1279.849	72.40094695236758	1311.161	80.58473615975981	1308.067	79.78158551515025
1551881941.2914484	normal	1	nan	nan	80.0	79.3	1309.959	80.27566769735904	1311.912	80.78686534842745	1311.42	80.6500138774204	9999999000.0	9999	1312.805	81.00971997549686	1278.909	72.16063182033076	1303.44	78.56700938949916	1285.246	73.81390457403268	1311.68	80.72499309649174	1308.532	79.9031988559259
1551881956.8611588	normal	1	nan	nan	80.0	79.4	1309.936	80.25836701373282	1311.875	80.77821364993952	1311.488	80.67282206026584	9999999000.0	9999	1312.842	81.0301709217174	1284.073	73.4991931030604	1304.96	78.96421944673602	1289.725	74.98668541473717	1311.891	80.78188406469872	1308.844	79.97449152637455
1551881972.4304035	normal	1	nan	nan	80.0	79.5	1310.634	80.46571907912539	1313.003	81.0681890445112	1312.398	80.91218644407581	9999999000.0	9999	1313.787	81.27297008344931	1288.432	74.64412324589239	1306.613	79.40288312646089	1293.515	75.96824878914049	1312.681	80.98848258910448	1309.175	80.06596857741897
1551881988.174788	normal	1	nan	nan	80.0	79.6	1311.02	80.54960732209656	1313.288	81.13295196284025	1312.724	80.9924154280834	9999999000.0	9999	1314.195	81.37680759811428	1292.159	75.61563754455301	1307.727	79.68723343564216	1296.6	76.77518218259866	1312.961	81.0577012425756	1309.762	80.21537783042186
1551882003.918548	normal	1	nan	nan	80.0	79.7	1311.175	80.58185243506205	1313.262	81.12823235483165	1312.852	81.02361611740571	9999999000.0	9999	1314.379	81.4268920166669	1295.213	76.41620068706516	1308.882	79.99283915491242	1299.161	77.44900007807473	1313.324	81.1549768898235	1310.012	80.28431807331435
1551882019.488583	normal	1	nan	nan	80.0	79.8	1311.735	80.73600417478383	1313.836	81.29866694068141	1313.353	81.1683492389302	9999999000.0	9999	1315.117	81.62277924598266	1297.701	77.06532859044	1309.946	80.26990079270126	1301.324	78.01345822833173	1313.95	81.32777280735854	1310.606	80.4334751052811
1551882035.0571918	normal	1	nan	nan	80.0	79.9	1311.996	80.79735228621576	1314.065	81.34140807680797	1313.624	81.22367463402861	9999999000.0	9999	1315.197	81.64166055975693	1299.915	77.64124548305608	1310.589	80.43635869982108	1303.199	78.49679518656967	1314.112	81.363958838891	1310.65	80.45444675963063
1551882050.6265078	normal	1	nan	nan	80.0	79.9	1311.814	80.75252086138153	1313.534	81.2173816511513	1313.284	81.1402935887686	9999999000.0	9999	1314.798	81.53938807445866	1301.623	78.08916322933874	1311.112	80.57739577459597	1304.662	78.88875632530426	1313.921	81.31492423983946	1310.715	80.47751573394135
1551882066.1908438	normal	1	nan	nan	80.0	80.0	1311.87	80.7677267732106	1313.563	81.21003985302377	1313.25	81.13662277375442	9999999000.0	9999	1314.632	81.49402206799414	1303.194	78.50020106480997	1311.504	80.67885183620365	1305.867	79.20031490865495	1313.815	81.28057423455675	1310.426	80.39598860643537
1551882081.755804	normal	1	nan	nan	80.0	80.0	1311.716	80.73285814865085	1313.104	81.09073793199696	1312.807	81.0220429663159	9999999000.0	9999	1314.349	81.4232208815306	1304.338	78.79940813201574	1311.694	80.72446876035019	1306.8	79.44559962186531	1313.711	81.24989552571651	1310.549	80.43059151327043
1551882097.3325155	normal	1	nan	nan	80.0	80.0	1311.793	80.75383171307931	1313.029	81.07474393771508	1312.808	81.0186344748713	9999999000.0	9999	1314.5	81.46360359358596	1305.284	79.05304804790285	1312.026	80.8183262621651	1307.636	79.66023875545716	1313.729	81.2606461517762	1310.767	80.4811858129624
1551882112.894288	normal	1	nan	nan	80.0	80.0	1311.789	80.74570444098208	1313.05	81.07605491792447	1312.772	81.01181750258638	9999999000.0	9999	1314.365	81.42636756853972	1306.135	79.27002002826976	1311.98	80.80600403507788	1308.265	79.82771418386983	1313.708	81.24884668603227	1310.616	80.44684451947023
