#t       phi                   C                  T_2             T_3         T_4
1      14000000000000         333.15             294.15         353.15      379.15
2      14000000000000         333.15             294.15         353.15      379.15
4      14000000000000         333.15             294.15         353.15      379.15
6      14000000000000         333.15             294.15         353.15      379.15
8      14000000000000         333.15             294.15         353.15      379.15
10     14000000000000         333.15             294.15         353.15      379.15
20     14000000000000         333.15             294.15         353.15      379.15
40     14000000000000         333.15             294.15         353.15      379.15
60     14000000000000         333.15             294.15         353.15      379.15
80     14000000000000         333.15             294.15         353.15      379.15
100    14000000000000         333.15             294.15         353.15      379.15
200    14000000000000         333.15             294.15         353.15      379.15
400    14000000000000         333.15             294.15         353.15      379.15
600    14000000000000         333.15             294.15         353.15      379.15
800    14000000000000         333.15             294.15         353.15      379.15
1000   14000000000000         333.15             294.15         353.15      379.15
2000   14000000000000         333.15             294.15         353.15      379.15
4000   14000000000000         333.15             294.15         353.15      379.15
6000   14000000000000         333.15             294.15         353.15      379.15
8000   14000000000000         333.15             294.15         353.15      379.15
10000  14000000000000         333.15             294.15         353.15      379.15
30000  14000000000000         333.15             294.15         353.15      379.15
60000  14000000000000         333.15             294.15         353.15      379.15
90000  14000000000000         333.15             294.15         353.15      379.15
