#|	C	SB22	|	|	T	K2000	|	|	T	K2000	|
#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1543576502.8174384	normal	0	-1	-1	19.8	19.4	1076.395	19.605584583746804	1075.695	19.42953965638162	1076.143	19.53506255128832	1075.924	19.48384492598325	1076.772	19.698758305718457	1075.879	19.47200578739239	1075.877	19.473292648254755	1075.877	19.474836881942792	1075.88	19.472263159525028	1075.871	19.470976299058293
1543576519.7880542	normal	1	-1	-1	19.8	19.4	1076.429	19.61896849483128	1075.715	19.43134123887876	1076.332	19.60481243666254	1076.145	19.546901912840895	1076.805	19.7100834652324	1075.983	19.498515221006528	1075.983	19.49594148038841	1075.975	19.4928529942581	1075.952	19.485646537699267	1075.943	19.485646537699267
1543576537.5573282	normal	1	-1	-1	80.0	19.4	1077.295	19.832088749280047	1076.085	19.524767488314865	1077.393	19.860660249430566	1076.553	19.647280790723016	1077.186	19.808150653092525	1076.645	19.66967341248528	1076.658	19.67662287727626	1076.68	19.6853740756801	1076.726	19.69206618401131	1076.76	19.70236176140861
1543576547.3664362	normal	1	-1	-1	80.0	19.5	1077.212	19.81638739805794	1076.07	19.522193727517333	1077.233	19.830801750507817	1076.805	19.71445910530474	1077.197	19.808665449058935	1077.273	19.830544350812488	1077.277	19.831831349486038	1077.293	19.834405348316977	1077.267	19.82797035495014	1077.248	19.814585608365178
1543576556.9895198	normal	1	-1	-1	80.0	19.5	1079.086	20.309342001819914	1076.61	19.661951801856958	1079.105	20.31732254287317	1078.343	20.11781472394432	1077.88	19.991165607314542	1076.916	19.738396531617127	1076.93	19.74405917362583	1076.943	19.750751399255932	1076.953	19.755641880291478	1076.985	19.757958426433106
1543576566.6135623	normal	1	-1	-1	80.0	19.6	1081.669	20.970246742428117	1077.456	19.886657952429232	1081.73	20.982606157446753	1080.318	20.623429268362088	1079.112	20.314748172712825	1076.685	19.683057579759407	1076.717	19.691036628012625	1076.726	19.695412243193005	1076.768	19.707509561978895	1076.788	19.7100834652324
1543576576.2368228	normal	1	-1	-1	80.0	19.8	1084.447	21.689743701017505	1078.682	20.187834178444064	1084.265	21.644931570713652	1082.368	21.14791772119179	1080.762	20.738516161047755	1076.926	19.749464431749857	1076.955	19.750236612194385	1076.955	19.750236612194385	1076.966	19.74972182521151	1076.943	19.745088745929024
1543576585.8592522	normal	1	-1	-1	80.0	20.1	1087.281	22.430776112663807	1080.081	20.54902396515672	1087.136	22.3913635828967	1084.342	21.671715760352072	1082.615	21.22001877987077	1076.862	19.718577360008112	1076.827	19.713429542420272	1076.816	19.715746059355297	1076.799	19.703391320889295	1076.821	19.71651823202319
1543576595.4845157	normal	1	-1	-1	80.0	20.5	1090.377	23.2077871977408	1081.388	20.888366770705943	1089.809	23.063758584711195	1086.814	22.291417549900416	1084.636	21.73635925501594	1077.611	19.926813217146446	1077.656	19.9371095164488	1077.681	19.934020623333254	1077.671	19.930416918300125	1077.676	19.940970636851034
1543576605.1079276	normal	1	-1	-1	80.0	20.8	1093.545	24.039100367095216	1082.898	21.291863879875564	1092.969	23.870037924019925	1089.056	22.890108002812212	1086.88	22.315631005480554	1078.241	20.087439092541445	1078.317	20.10159719152898	1078.369	20.123735429958288	1078.45	20.14124018724442	1078.496	20.15462623987014
1543576614.731302	normal	1	-1	-1	80.0	21.3	1096.56	24.81932089388647	1084.12	21.599862504731846	1095.628	24.575466309388503	1091.51	23.528073411176138	1089.296	22.938801395903738	1077.756	19.953326252063107	1077.742	19.94920770859244	1077.719	19.93813914812108	1077.655	19.922179892791064	1077.591	19.909309581004436
1543576624.3547008	normal	1	-1	-1	80.0	21.8	1100.041	25.71472395888668	1085.169	21.89913247017921	1098.838	25.39964260627994	1094.007	24.163325475849888	1091.826	23.593010478251472	1076.643	19.67173251166014	1076.624	19.66040748186788	1076.597	19.65834838965793	1076.604	19.65834838965793	1076.585	19.650369419303388
1543576633.9789052	normal	1	-1	-1	80.0	22.3	1103.368	26.57890064639969	1087.013	22.360452119738966	1101.837	26.17089681486368	1096.634	24.832467893735156	1094.47	24.26796680423149	1076.682	19.684087133304274	1076.687	19.684859298670744	1076.704	19.685116687165646	1076.67	19.670445574527093	1076.611	19.650369419303388
1543576643.6025648	normal	1	-1	-1	80.0	22.9	1106.702	27.425499894421137	1088.769	22.788858930971855	1104.952	26.98153733803929	1099.182	25.49014165639619	1097.15	24.956722485036607	1076.717	19.696956579327434	1076.77	19.70853912304301	1076.818	19.717805186865462	1076.841	19.72526953470515	1076.879	19.727843451611534
1543576653.2255023	normal	1	-1	-1	80.0	23.4	1109.88	28.235670813421166	1090.253	23.20521060277315	1107.96	27.742320409170134	1102.141	26.266058866956428	1099.8	25.645104409593387	1075.981	19.492595620542488	1075.937	19.486933403804414	1075.915	19.47792535145527	1075.893	19.470718927024336	1075.858	19.46093880439048
1543576662.8497531	normal	1	-1	-1	80.0	24.1	1113.344	29.131731992340974	1092.383	23.740669693199834	1110.657	28.44159907795165	1104.655	26.87345776667007	1102.58	26.366897494660407	1075.693	19.427223337452688	1075.708	19.431855976913084	1075.712	19.426708600130496	1075.698	19.42619386288743	1075.69	19.422848072736087
1543576672.4733565	normal	1	-1	-1	80.0	24.6	1116.363	29.91391742953192	1094.486	24.27673001975063	1113.675	29.222074084040287	1106.709	27.459554078363908	1105.241	27.051184737753374	1075.562	19.38861825786853	1075.551	19.384757774389982	1075.531	19.38424304359569	1075.526	19.380897295362047	1075.499	19.373176350658923
1543576682.0966926	normal	1	-1	-1	80.0	25.3	1119.227	30.664264870873012	1096.112	24.69146257223838	1116.145	29.87880550748605	1109.282	28.09452180660446	1108.066	27.783602167946356	1075.412	19.354131429843164	1075.416	19.3582492413816	1075.428	19.36365387671094	1075.47	19.37729418561821	1075.557	19.399427635286884
