#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1543581226.3895612	normal	1	-1	-1	70.0	57.4	1241.36	62.350910807196215	1224.175	57.87440936845405	1240.673	62.18041035386614	1232.443	60.01863283554803	1240.847	62.210390683193964	1077.693	19.935822477304555	1077.679	19.939426188156176	1077.683	19.935050254055113	1077.68	19.936079885093477	1077.653	19.931961362839502
1543581235.769013	normal	1	-1	-1	70.0	58.1	1243.502	62.93391152630875	1225.174	58.09754385444148	1242.975	62.72479121160086	1233.138	60.18928239486104	1242.1	62.52793816779058	1077.468	19.879708051659236	1077.468	19.879708051659236	1077.464	19.882282087299245	1077.47	19.880222858629168	1077.504	19.890519014646543
1543581250.6582716	normal	1	-1	-1	70.0	59.0	1246.664	63.73218441300105	1226.903	58.561565947724375	1245.586	63.449728674248945	1236.028	60.95692348851662	1244.248	63.09428083182593	1077.47	19.88253949097225	1077.458	19.877391421275206	1077.453	19.87198595661357	1077.426	19.86992673427585	1077.421	19.870184136998887
1543581266.1765904	normal	1	-1	-1	80.0	59.8	1250.153	64.63970102725898	1229.003	59.12853197967797	1248.658	64.24708276073898	1239.914	61.9405775071109	1246.752	63.75096348987063	1077.303	19.833118348653898	1077.267	19.826683357760885	1077.262	19.828485153964266	1077.245	19.824366764067236	1077.229	19.823079768263142
1543581276.0108657	normal	1	-1	-1	80.0	60.2	1252.085	65.15630645335159	1230.089	59.40775352740138	1250.561	64.76597489226606	1241.034	62.265920185297546	1248.314	64.15630458094483	1077.232	19.824624163287353	1077.245	19.822564970080293	1077.24	19.820505778139704	1077.233	19.819218783819906	1077.223	19.819218783819906
1543581285.4611795	normal	1	-1	-1	80.0	60.7	1255.016	65.89378329453757	1231.483	59.748737918014285	1252.785	65.35775228419243	1242.784	62.7547764790188	1250.012	64.60030665646218	1077.214	19.816644796664605	1077.221	19.81715959393705	1077.214	19.818189188720226	1077.213	19.816644796664605	1077.213	19.81947618264394
1543581294.9100606	normal	1	-1	-1	80.0	61.1	1257.44	66.54997865469386	1233.454	60.25129159111202	1255.372	66.01880011833373	1244.92	63.247877592848454	1251.848	65.07724493174237	1077.216	19.815100405321118	1077.204	19.816644796664605	1077.207	19.81355601469022	1077.184	19.807378459291158	1077.19	19.80712106139663
1543581304.3584907	normal	1	-1	-1	80.0	61.6	1259.688	67.12928255286079	1234.544	60.58480636899458	1256.949	66.41815487811209	1247.012	63.82086432515871	1253.705	65.5701709129753	1077.081	19.774174294303975	1077.081	19.778807413835693	1077.065	19.781638767817185	1077.046	19.7759760622489	1077.063	19.77571866676908
1543581313.8070638	normal	1	-1	-1	80.0	62.0	1261.892	67.69850393023444	1235.659	60.828710341151236	1259.54	67.10917882202057	1248.942	64.31647236186791	1255.651	66.07413266631556	1076.994	19.75976018565143	1076.977	19.755641880291478	1076.951	19.74972182521151	1076.945	19.747662678072174	1076.943	19.74431656667184
1543581323.2513056	normal	1	-1	-1	80.0	62.5	1264.584	68.4146089759306	1237.016	61.23734192483698	1262.674	67.89906035454214	1250.978	64.87033710186734	1257.684	66.60505905913897	1076.949	19.74792007139513	1076.955	19.74792007139513	1076.955	19.7528105482952	1076.978	19.760017579904797	1077.004	19.76259152352486
